Status	Title	URL	Starts	Due	Sub-issues progress	Type	Assignees	Reviewers	Labels	Linked pull requests	Milestone	Sprint	Parent issue	Phase
Pending	Conduct Stakeholder Interviews	https://github.com/Kin230k/Template/issues/27	Jan 2, 2025	Jan 3, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/3	Requirements Gathering & Analysis
Pending	Collect Functional Requirements	https://github.com/Kin230k/Template/issues/29	Jan 7, 2025	Jan 7, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/3	Requirements Gathering & Analysis
Pending	Collect Non-Functional Requirements	https://github.com/Kin230k/Template/issues/30	Jan 7, 2025	Jan 7, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/3	Requirements Gathering & Analysis
Pending	Validate Requirements with Stakeholders	https://github.com/Kin230k/Template/issues/31	Jan 8, 2025	Jan 8, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/3	Requirements Gathering & Analysis
Pending	Analyze and Prioritize Requirements	https://github.com/Kin230k/Template/issues/32	Jan 9, 2025	Jan 9, 2025		Analysis			Task			Development	https://github.com/Kin230k/Template/issues/4	Requirements Gathering & Analysis
Pending	Create Requirements Specification Document	https://github.com/Kin230k/Template/issues/33	Jan 10, 2025	Jan 12, 2025		Management			Task		Requirements Specification Document Approved	Development	https://github.com/Kin230k/Template/issues/4	Requirements Gathering & Analysis
Pending	Define Acceptance Criteria	https://github.com/Kin230k/Template/issues/34	Jan 13, 2025	Jan 14, 2025		Planning			Task		Requirements Specification Document Approved	Development	https://github.com/Kin230k/Template/issues/4	Requirements Gathering & Analysis
Pending	Groom and Prioritize Product Backlog	https://github.com/Kin230k/Template/issues/36	Jan 16, 2025	Jan 16, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/4	Sprint Planning
Pending	Define Sprint Goals	https://github.com/Kin230k/Template/issues/35	Jan 15, 2025	Jan 15, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/4	Sprint Planning
Pending	Select Tasks for Sprint Backlog	https://github.com/Kin230k/Template/issues/37	Jan 16, 2025	Jan 16, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/4	Sprint Planning
Pending	Estimate Effort for User Stories / Tasks	https://github.com/Kin230k/Template/issues/39	Jan 16, 2025	Jan 16, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/5	Sprint Planning
Pending	Define Acceptance Criteria and Definition of Done	https://github.com/Kin230k/Template/issues/38	Jan 16, 2025	Jan 16, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/4	Sprint Planning
Pending	Assign Team Roles and Responsibilities	https://github.com/Kin230k/Template/issues/40	Jan 15, 2025	Jan 16, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/5	Sprint Planning
Pending	Set Sprint Timeline and Ceremonies	https://github.com/Kin230k/Template/issues/41	Jan 15, 2025	Jan 15, 2025		Planning			Task		Final Sprint Kickoff Meeting	Development	https://github.com/Kin230k/Template/issues/5	Sprint Planning
Pending	Define System Architecture Overview	https://github.com/Kin230k/Template/issues/42	Jan 17, 2025	Jan 17, 2025		Planning			Task		All Architecture Diagrams Completed	Development	https://github.com/Kin230k/Template/issues/5	System Architecture
Pending	Develop Use Case Models	https://github.com/Kin230k/Template/issues/43	Jan 17, 2025	Jan 17, 2025		Development			Task		All Architecture Diagrams Completed	Development	https://github.com/Kin230k/Template/issues/5	System Architecture
Pending	Create Entity Relationship Diagram (ERD)	https://github.com/Kin230k/Template/issues/44	Jan 18, 2025	Jan 18, 2025		Development			Task		All Architecture Diagrams Completed	Development	https://github.com/Kin230k/Template/issues/5	System Architecture
Pending	Create Decision Table Diagram	https://github.com/Kin230k/Template/issues/45	Jan 18, 2025	Jan 19, 2025		Development			Task		All Architecture Diagrams Completed	Development	https://github.com/Kin230k/Template/issues/5	System Architecture
Pending	Create Class Diagram	https://github.com/Kin230k/Template/issues/46	Jan 20, 2025	Jan 20, 2025		Development			Task		All Architecture Diagrams Completed	Development	https://github.com/Kin230k/Template/issues/5	System Architecture
Pending	Create Data Flow Diagram (DFD)	https://github.com/Kin230k/Template/issues/47	Jan 21, 2025	Jan 22, 2025		Development			Task		All Architecture Diagrams Completed	Development	https://github.com/Kin230k/Template/issues/5	System Architecture
Pending	Create Activity Diagram	https://github.com/Kin230k/Template/issues/48	Jan 23, 2025	Jan 24, 2025		Development			Task		All Architecture Diagrams Completed	Development	https://github.com/Kin230k/Template/issues/6	System Architecture
Pending	Create Sequence Diagram	https://github.com/Kin230k/Template/issues/49	Jan 25, 2025	Jan 27, 2025		Development			Task		All Architecture Diagrams Completed	Development	https://github.com/Kin230k/Template/issues/6	System Architecture
Pending	Design System Interfaces Diagram	https://github.com/Kin230k/Template/issues/50	Jan 28, 2025	Jan 28, 2025		Development			Task		All Architecture Diagrams Completed	Development	https://github.com/Kin230k/Template/issues/6	System Architecture
Pending	Build Design System / UI Elements Library	https://github.com/Kin230k/Template/issues/51	Jan 29, 2025	Jan 29, 2025		Design			Task		Design System Finalized	Development	https://github.com/Kin230k/Template/issues/6	UI/UX Designing
Pending	Review and Approve Architecture Package	https://github.com/Kin230k/Template/issues/52	Jan 30, 2025	Jan 30, 2025		Review			Task		System Architecture Approved by Tech Leads & Stakeholders	Development	https://github.com/Kin230k/Template/issues/6	UI/UX Designing
Pending	Define Brand Design Variables	https://github.com/Kin230k/Template/issues/53	Jan 29, 2025	Jan 29, 2025		Design			Task		Design System Finalized	Development	https://github.com/Kin230k/Template/issues/6	UI/UX Designing
Pending	Conduct User Journey Mapping	https://github.com/Kin230k/Template/issues/54	Jan 29, 2025	Jan 29, 2025		Design			Task		Design System Finalized	Development	https://github.com/Kin230k/Template/issues/6	UI/UX Designing
Pending	Create UX Flows (User Experience Design)	https://github.com/Kin230k/Template/issues/55	Jan 29, 2025	Jan 29, 2025		Design			Task		Wireframes & UX Flows Approved	Development	https://github.com/Kin230k/Template/issues/6	UI/UX Designing
Pending	Develop Wireframes (Low-Fidelity Layouts)	https://github.com/Kin230k/Template/issues/56	Jan 31, 2025	Feb 2, 2025		Design			Task		Wireframes & UX Flows Approved	Development	https://github.com/Kin230k/Template/issues/6	UI/UX Designing
Pending	Design UI Screens (High-Fidelity Visuals)	https://github.com/Kin230k/Template/issues/57	Feb 3, 2025	Feb 5, 2025		Design			Task		High-Fidelity UI Designs Approved	Development	https://github.com/Kin230k/Template/issues/7	UI/UX Designing
Pending	Conduct Usability Testing	https://github.com/Kin230k/Template/issues/58	Feb 6, 2025	Feb 7, 2025		Review			Task		Design Handoff Completed	Development	https://github.com/Kin230k/Template/issues/7	UI/UX Designing
Pending	Design Review and Approval	https://github.com/Kin230k/Template/issues/59	Feb 8, 2025	Feb 8, 2025		Review			Task		Design Handoff Completed	Development	https://github.com/Kin230k/Template/issues/7	UI/UX Designing
Pending	Develop Frontend Interfaces	https://github.com/Kin230k/Template/issues/60	Feb 9, 2025	Feb 19, 2025		Development			Task		Core Modules Developed	Development	https://github.com/Kin230k/Template/issues/7	Development
Pending	Testing – UI/UX Consistency & Responsiveness	https://github.com/Kin230k/Template/issues/61	Feb 20, 2025	Feb 21, 2025		Development			Task		Core Modules Developed	Development	https://github.com/Kin230k/Template/issues/7	Development
Pending	Review – UI Code & Visual Review	https://github.com/Kin230k/Template/issues/62	Feb 22, 2025	Feb 22, 2025		Review			Task		Core Modules Developed	Development	https://github.com/Kin230k/Template/issues/7	Development
Pending	Create Data Structures & Seed Data	https://github.com/Kin230k/Template/issues/63	Jan 29, 2025	Feb 2, 2025		Development			Task		Core Modules Developed	Development	https://github.com/Kin230k/Template/issues/7	Development
Pending	Testing – Data Accuracy & Relationships	https://github.com/Kin230k/Template/issues/64	Feb 3, 2025	Feb 5, 2025		Development			Task		Core Modules Developed	Development	https://github.com/Kin230k/Template/issues/7	Development
Pending	Review – Data Model Validation	https://github.com/Kin230k/Template/issues/65	Feb 6, 2025	Feb 6, 2025		Review			Task		Core Modules Developed	Development	https://github.com/Kin230k/Template/issues/7	Development
Pending	Develop Backend Logic / API	https://github.com/Kin230k/Template/issues/66	Feb 7, 2025	Feb 17, 2025		Development			Task		Core Modules Developed	Development	https://github.com/Kin230k/Template/issues/7	Development
Pending	Review – Code Review & Refactoring	https://github.com/Kin230k/Template/issues/68	Feb 21, 2025	Feb 21, 2025		Review			Task		Core Modules Developed	Development	https://github.com/Kin230k/Template/issues/7	Development
Pending	Testing – Unit & Integration Tests for API	https://github.com/Kin230k/Template/issues/67	Feb 18, 2025	Feb 20, 2025		Development			Task		Core Modules Developed	Development	https://github.com/Kin230k/Template/issues/7	Development
Pending	Backend–Frontend–Database Integration	https://github.com/Kin230k/Template/issues/69	Feb 23, 2025	Mar 2, 2025		Development			Task		System Integrated & Internally Tested	Development	https://github.com/Kin230k/Template/issues/8	Development
Pending	Testing – Full Stack Flow Test	https://github.com/Kin230k/Template/issues/70	Mar 3, 2025	Mar 4, 2025		Development			Task		System Integrated & Internally Tested	Development	https://github.com/Kin230k/Template/issues/8	Development
Pending	Review – Integration Demo & Code Walkthrough	https://github.com/Kin230k/Template/issues/71	Mar 5, 2025	Mar 5, 2025		Review			Task		System Integrated & Internally Tested	Development	https://github.com/Kin230k/Template/issues/8	Development
Pending	Prepare Test Plan & Strategy	https://github.com/Kin230k/Template/issues/72	Mar 6, 2025	Mar 6, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/8	Testing & Quality Assurance
Pending	Develop Test Cases & Test Scenarios	https://github.com/Kin230k/Template/issues/73	Mar 6, 2025	Mar 6, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/8	Testing & Quality Assurance
Pending	Conduct Unit Testing	https://github.com/Kin230k/Template/issues/74	Mar 8, 2025	Mar 11, 2025		Review			Task			Development	https://github.com/Kin230k/Template/issues/8	Testing & Quality Assurance
Pending	Conduct System Testing	https://github.com/Kin230k/Template/issues/75	Mar 8, 2025	Mar 11, 2025		Review			Task			Development	https://github.com/Kin230k/Template/issues/8	Testing & Quality Assurance
Pending	Conduct Integration Testing	https://github.com/Kin230k/Template/issues/76	Mar 8, 2025	Mar 11, 2025		Review			Task			Development	https://github.com/Kin230k/Template/issues/8	Testing & Quality Assurance
Pending	Conduct Regression Testing	https://github.com/Kin230k/Template/issues/77	Mar 10, 2025	Mar 11, 2025		Review			Task			Development	https://github.com/Kin230k/Template/issues/8	Testing & Quality Assurance
Pending	Conduct User Acceptance Testing (UAT)	https://github.com/Kin230k/Template/issues/78	Mar 11, 2025	Mar 11, 2025		Review			Task		UAT Sign-Off Received	Development	https://github.com/Kin230k/Template/issues/9	Testing & Quality Assurance
Pending	Log and Manage Bugs / Issues	https://github.com/Kin230k/Template/issues/79	Mar 7, 2025	Mar 11, 2025		Review			Task			Development	https://github.com/Kin230k/Template/issues/9	Testing & Quality Assurance
Pending	Fix Critical & High-Priority Bugs	https://github.com/Kin230k/Template/issues/80	Mar 7, 2025	Mar 11, 2025		Development			Task		Final QA Sign-Off	Development	https://github.com/Kin230k/Template/issues/9	Testing & Quality Assurance
Pending	Prepare Deployment Environment	https://github.com/Kin230k/Template/issues/81	Mar 12, 2025	Mar 12, 2025		Development			Task			Development	https://github.com/Kin230k/Template/issues/9	Deployment
Pending	Final Pre-Deployment Checklist	https://github.com/Kin230k/Template/issues/82	Mar 12, 2025	Mar 12, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/9	Deployment
Pending	Create Deployment Plan & Rollback Strategy	https://github.com/Kin230k/Template/issues/83	Mar 12, 2025	Mar 12, 2025		Planning			Task		Go-Live Approved	Development	https://github.com/Kin230k/Template/issues/9	Deployment
Pending	Perform Deployment	https://github.com/Kin230k/Template/issues/84	Mar 13, 2025	Mar 13, 2025		Development			Task		System Successfully Deployed to Production	Development	https://github.com/Kin230k/Template/issues/9	Deployment
Pending	Post-Deployment Smoke Testing	https://github.com/Kin230k/Template/issues/85	Mar 13, 2025	Mar 13, 2025		Development			Task		System Successfully Deployed to Production	Development	https://github.com/Kin230k/Template/issues/9	Deployment
Pending	Inform Stakeholders & Users	https://github.com/Kin230k/Template/issues/86	Mar 16, 2025	Mar 16, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/9	Deployment
Pending	Address Post-Launch Hotfixes	https://github.com/Kin230k/Template/issues/87	Mar 13, 2025	Mar 15, 2025		Development			Task			Development	https://github.com/Kin230k/Template/issues/9	Deployment
Pending	Monitor System Performance	https://github.com/Kin230k/Template/issues/88	Mar 13, 2025	Mar 17, 2025		Management			Task		Support & Monitoring Framework Activated	Development	https://github.com/Kin230k/Template/issues/11	Deployment
Pending	Archive Deployment Package & Document Version	https://github.com/Kin230k/Template/issues/89	Mar 17, 2025	Mar 17, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/11	Deployment
Pending	Prepare Retrospective Agenda	https://github.com/Kin230k/Template/issues/90	Mar 16, 2025	Mar 19, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/11	Sprint Retrospective
Pending	Deployment Retrospective	https://github.com/Kin230k/Template/issues/91	Mar 17, 2025	Mar 17, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/11	Deployment
Pending	Gather Sprint Metrics	https://github.com/Kin230k/Template/issues/92	Mar 18, 2025	Mar 18, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/11	Sprint Retrospective
Pending	Identify Improvement Areas	https://github.com/Kin230k/Template/issues/93	Mar 19, 2025	Mar 19, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/11	Sprint Retrospective
Pending	Propose Actionable Changes	https://github.com/Kin230k/Template/issues/94	Mar 19, 2025	Mar 19, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/10	Sprint Retrospective
Pending	Recognize Achievements	https://github.com/Kin230k/Template/issues/95	Mar 19, 2025	Mar 19, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/10	Sprint Retrospective
Pending	Document Retrospective Outcomes	https://github.com/Kin230k/Template/issues/96	Mar 19, 2025	Mar 19, 2025		Planning			Task			Development	https://github.com/Kin230k/Template/issues/10	Sprint Retrospective
Pending	Identify Stakeholders & Report Types	https://github.com/Kin230k/Template/issues/97	Mar 20, 2025	Mar 20, 2025		Planning			Task		Status Reporting Framework Activated	Development	https://github.com/Kin230k/Template/issues/10	Status Reporting
Pending	Define Reporting Objectives & Frequency	https://github.com/Kin230k/Template/issues/98	Mar 20, 2025	Mar 20, 2025		Planning			Task		Status Reporting Framework Activated	Development	https://github.com/Kin230k/Template/issues/10	Status Reporting
Pending	Choose Reporting Format & Tools	https://github.com/Kin230k/Template/issues/99	Mar 20, 2025	Mar 20, 2025		Planning			Task		Status Reporting Framework Activated	Development	https://github.com/Kin230k/Template/issues/10	Status Reporting
Pending	Gather and Validate Project Data	https://github.com/Kin230k/Template/issues/100	Mar 15, 2025	Mar 21, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/10	Status Reporting
Pending	Highlight Risks, Issues & Mitigation Plans	https://github.com/Kin230k/Template/issues/101	Mar 21, 2025	Mar 21, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/10	Status Reporting
Pending	Share Report with Stakeholders	https://github.com/Kin230k/Template/issues/103	Mar 21, 2025	Mar 21, 2025		Management			Task		Provide User Support Channel	Development	https://github.com/Kin230k/Template/issues/12	Status Reporting
Pending	Generate Project Status Report	https://github.com/Kin230k/Template/issues/102	Mar 21, 2025	Mar 21, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/10	Status Reporting
Pending	Collect Feedback & Questions	https://github.com/Kin230k/Template/issues/104	Mar 15, 2025	Mar 23, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/10	Status Reporting
Pending	Track Historical Reports	https://github.com/Kin230k/Template/issues/105	Mar 15, 2025	Mar 23, 2025		Management			Task			Development	https://github.com/Kin230k/Template/issues/10	Status Reporting
Pending	Collect and Analyze User Feedback	https://github.com/Kin230k/Template/issues/106	Mar 17, 2025	Mar 17, 2025		Analysis			Task			Development	https://github.com/Kin230k/Template/issues/12	Maintenance & Support
